subject,eval_top1_acc,eval_top5_acc
1,0.385,0.73
2,0.46,0.765
3,0.485,0.805
4,0.515,0.835
5,0.385,0.71
6,0.52,0.85
7,0.47,0.8
8,0.615,0.88
9,0.41,0.79
10,0.635,0.935
MEAN,0.488,0.81
