subject,eval_top1_acc,eval_top5_acc
1,0.19,0.57
2,0.21,0.535
3,0.225,0.48
4,0.18,0.485
5,0.14,0.395
6,0.22,0.505
7,0.25,0.55
8,0.26,0.655
9,0.185,0.465
10,0.3,0.665
MEAN,0.21600000000000003,0.5305
